.012   1.2
.014    .3
.017   1.8
.021   -.06
.025   0.8
.030   -.4
.036   0.0
.043   -.7 
.052  -1.2
.062  -1.5
.074  -1.2
.089  -1.1
.11   -2.1
.13   -3.1
.15   -3.9
.18   -3.9
.22   -6.2
.27   -6.7
.32   -8.6
.38    -14.8
.46    -19.4
.55    -25.1
.66    -30
.79    -34.6
.95    -45.9
1.14   -59.1
1.37   -73.3
1.65   -91.1
1.98   -114.3
2.37   -140
